school_name,school_type,local_authority,sector,pupils,postcode,latitude,longitude,near_transport
Ysgol Deganwy,"Nursery, Infants & Juniors",Conwy,Primary,327.0,LL31 9YB,53.29250561321279,-3.821181890406145,True
Ysgol Dolwyddelan,"Nursery, Infants & Juniors",Conwy,Primary,19.0,LL25 0SZ,53.05199375608816,-3.8850716338471027,True
Ysgol Ffordd Dyffryn,"Nursery, Infants & Juniors",Conwy,Primary,174.0,LL30 2LZ,53.316532270831495,-3.8349056014565592,True
Ysgol Glanwydden,"Nursery, Infants & Juniors",Conwy,Primary,296.0,LL30 3LB,53.31059276535664,-3.778947042979873,True
Ysgol Tudno,"Nursery, Infants & Juniors",Conwy,Primary,184.0,LL30 2SJ,53.319867041139034,-3.8308448526995256,True
Ysgol Morfa Rhianedd,"Nursery, Infants & Juniors",Conwy,Primary,153.0,LL30 1EG,53.316555047232015,-3.8263944394071228,True
Ysgol Penmachno,"Nursery, Infants & Juniors",Conwy,Primary,38.0,LL24 0PT,53.0407280951212,-3.8015991408723036,True
Ysgol Talhaiarn,"Nursery, Infants & Juniors",Conwy,Primary,45.0,LL22 8SD,53.217247190992296,-3.6103829041728437,True
Ysgol  T. Gwynn Jones,Nursery & Infants,Conwy,Primary,187.0,LL29 9UA,53.28819778707669,-3.7026740403883664,True
Ysgol Maes Owen,Juniors,Conwy,Primary,204.0,LL18 5LE,53.304600925603914,-3.5256030917889514,True
