Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,School,School_reference,School_sort,School_hierarchy,Category,Category_reference,Category_sort,Category_hierarchy,Notes
15,15,Percentage of pupils,PCT,2,,6762145 - HENDRE INFANTS SCHOOL,6762145,1109,,Eligible for free school meals,fsm,1,,
19.5,19.5,Percentage of pupils,PCT,2,,6762145 - HENDRE INFANTS SCHOOL,6762145,1109,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25.9,25.9,Percentage of pupils,PCT,2,,6762148 - Hengoed Primary,6762148,1110,,Eligible for free school meals,fsm,1,,
39.5,39.5,Percentage of pupils,PCT,2,,6762148 - Hengoed Primary,6762148,1110,,Eligible for free school meals or transitionally protected,fsmtp,2,,
26.5,26.5,Percentage of pupils,PCT,2,,6762158 - Llancaeach Junior School,6762158,1111,,Eligible for free school meals,fsm,1,,
34.6,34.6,Percentage of pupils,PCT,2,,6762158 - Llancaeach Junior School,6762158,1111,,Eligible for free school meals or transitionally protected,fsmtp,2,,
22.1,22.1,Percentage of pupils,PCT,2,,6762171 - Llanfabon Infants School,6762171,1112,,Eligible for free school meals,fsm,1,,
27.9,27.9,Percentage of pupils,PCT,2,,6762171 - Llanfabon Infants School,6762171,1112,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.3,14.3,Percentage of pupils,PCT,2,,6762193 - RHYDRI PRIMARY SCHOOL,6762193,1113,,Eligible for free school meals,fsm,1,,
17.1,17.1,Percentage of pupils,PCT,2,,6762193 - RHYDRI PRIMARY SCHOOL,6762193,1113,,Eligible for free school meals or transitionally protected,fsmtp,2,,
33.3,33.3,Percentage of pupils,PCT,2,,6762197 - NANT Y PARC PRIMARY SCHOOL,6762197,1114,,Eligible for free school meals,fsm,1,,
48.1,48.1,Percentage of pupils,PCT,2,,6762197 - NANT Y PARC PRIMARY SCHOOL,6762197,1114,,Eligible for free school meals or transitionally protected,fsmtp,2,,
33.5,33.5,Percentage of pupils,PCT,2,,6762207 - Pantside Primary,6762207,1115,,Eligible for free school meals,fsm,1,,
40.8,40.8,Percentage of pupils,PCT,2,,6762207 - Pantside Primary,6762207,1115,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.4,14.4,Percentage of pupils,PCT,2,,6762224 - Tiryberth Primary,6762224,1116,,Eligible for free school meals,fsm,1,,
21.6,21.6,Percentage of pupils,PCT,2,,6762224 - Tiryberth Primary,6762224,1116,,Eligible for free school meals or transitionally protected,fsmtp,2,,
13.6,13.6,Percentage of pupils,PCT,2,,6762227 - Ty Isaf Infants School,6762227,1117,,Eligible for free school meals,fsm,1,,
14.5,14.5,Percentage of pupils,PCT,2,,6762227 - Ty Isaf Infants School,6762227,1117,,Eligible for free school meals or transitionally protected,fsmtp,2,,
35.3,35.3,Percentage of pupils,PCT,2,,6762252 - CWM  IFOR  PRIMARY SCHOOL,6762252,1118,,Eligible for free school meals,fsm,1,,
47.4,47.4,Percentage of pupils,PCT,2,,6762252 - CWM  IFOR  PRIMARY SCHOOL,6762252,1118,,Eligible for free school meals or transitionally protected,fsmtp,2,,
17.4,17.4,Percentage of pupils,PCT,2,,6762256 - BRYN PRIMARY,6762256,1119,,Eligible for free school meals,fsm,1,,
22.5,22.5,Percentage of pupils,PCT,2,,6762256 - BRYN PRIMARY,6762256,1119,,Eligible for free school meals or transitionally protected,fsmtp,2,,
20.3,20.3,Percentage of pupils,PCT,2,,6762262 - YSGOL IFOR BACH,6762262,1120,,Eligible for free school meals,fsm,1,,
29.2,29.2,Percentage of pupils,PCT,2,,6762262 - YSGOL IFOR BACH,6762262,1120,,Eligible for free school meals or transitionally protected,fsmtp,2,,
13.7,13.7,Percentage of pupils,PCT,2,,6762264 - Abercarn Primary school,6762264,1121,,Eligible for free school meals,fsm,1,,
18,18,Percentage of pupils,PCT,2,,6762264 - Abercarn Primary school,6762264,1121,,Eligible for free school meals or transitionally protected,fsmtp,2,,
41.6,41.6,Percentage of pupils,PCT,2,,6762278 - Greenhill Primary,6762278,1122,,Eligible for free school meals,fsm,1,,
45.8,45.8,Percentage of pupils,PCT,2,,6762278 - Greenhill Primary,6762278,1122,,Eligible for free school meals or transitionally protected,fsmtp,2,,
9.7,9.7,Percentage of pupils,PCT,2,,6762282 - YSGOL GYMRAEG CAERFFILI,6762282,1123,,Eligible for free school meals,fsm,1,,
13.1,13.1,Percentage of pupils,PCT,2,,6762282 - YSGOL GYMRAEG CAERFFILI,6762282,1123,,Eligible for free school meals or transitionally protected,fsmtp,2,,
17.4,17.4,Percentage of pupils,PCT,2,,6762285 - YSGOL GYMRAEG GILFACH FARGOD,6762285,1124,,Eligible for free school meals,fsm,1,,
23.9,23.9,Percentage of pupils,PCT,2,,6762285 - YSGOL GYMRAEG GILFACH FARGOD,6762285,1124,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.7,14.7,Percentage of pupils,PCT,2,,6762296 - YNYSDDU PRIMARY SCHOOL,6762296,1125,,Eligible for free school meals,fsm,1,,
19.3,19.3,Percentage of pupils,PCT,2,,6762296 - YNYSDDU PRIMARY SCHOOL,6762296,1125,,Eligible for free school meals or transitionally protected,fsmtp,2,,
41,41,Percentage of pupils,PCT,2,,6762307 - UPPER RHYMNEY PRIMARY SCHOOL,6762307,1126,,Eligible for free school meals,fsm,1,,
52.8,52.8,Percentage of pupils,PCT,2,,6762307 - UPPER RHYMNEY PRIMARY SCHOOL,6762307,1126,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.1,14.1,Percentage of pupils,PCT,2,,6762309 - Ysgol Y Lawnt,6762309,1127,,Eligible for free school meals,fsm,1,,
26.7,26.7,Percentage of pupils,PCT,2,,6762309 - Ysgol Y Lawnt,6762309,1127,,Eligible for free school meals or transitionally protected,fsmtp,2,,
46.3,46.3,Percentage of pupils,PCT,2,,6762310 - Bryn Awel Primary School,6762310,1128,,Eligible for free school meals,fsm,1,,
51.5,51.5,Percentage of pupils,PCT,2,,6762310 - Bryn Awel Primary School,6762310,1128,,Eligible for free school meals or transitionally protected,fsmtp,2,,
9.6,9.6,Percentage of pupils,PCT,2,,6762313 - Ysgol Gymraeg Trelyn,6762313,1129,,Eligible for free school meals,fsm,1,,
13.5,13.5,Percentage of pupils,PCT,2,,6762313 - Ysgol Gymraeg Trelyn,6762313,1129,,Eligible for free school meals or transitionally protected,fsmtp,2,,
49.3,49.3,Percentage of pupils,PCT,2,,6762316 - PHILLIPSTOWN PRIMARY SCHOOL,6762316,1130,,Eligible for free school meals,fsm,1,,
56.8,56.8,Percentage of pupils,PCT,2,,6762316 - PHILLIPSTOWN PRIMARY SCHOOL,6762316,1130,,Eligible for free school meals or transitionally protected,fsmtp,2,,
11.3,11.3,Percentage of pupils,PCT,2,,6762322 - MAESYCWMMER PRIMARY SCHOOL,6762322,1131,,Eligible for free school meals,fsm,1,,
18.3,18.3,Percentage of pupils,PCT,2,,6762322 - MAESYCWMMER PRIMARY SCHOOL,6762322,1131,,Eligible for free school meals or transitionally protected,fsmtp,2,,
10.9,10.9,Percentage of pupils,PCT,2,,6762323 - Bedwas Junior,6762323,1132,,Eligible for free school meals,fsm,1,,
20.5,20.5,Percentage of pupils,PCT,2,,6762323 - Bedwas Junior,6762323,1132,,Eligible for free school meals or transitionally protected,fsmtp,2,,
3,3,Percentage of pupils,PCT,2,,6762326 - Machen Primary School,6762326,1133,,Eligible for free school meals,fsm,1,,
9,9,Percentage of pupils,PCT,2,,6762326 - Machen Primary School,6762326,1133,,Eligible for free school meals or transitionally protected,fsmtp,2,,
62.9,62.9,Percentage of pupils,PCT,2,,6762328 - Graig-y-Rhacca Primary and Nursery Community,6762328,1134,,Eligible for free school meals,fsm,1,,
73.3,73.3,Percentage of pupils,PCT,2,,6762328 - Graig-y-Rhacca Primary and Nursery Community,6762328,1134,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.7,14.7,Percentage of pupils,PCT,2,,6762335 - Bedwas Infants,6762335,1135,,Eligible for free school meals,fsm,1,,
16,16,Percentage of pupils,PCT,2,,6762335 - Bedwas Infants,6762335,1135,,Eligible for free school meals or transitionally protected,fsmtp,2,,
7.9,7.9,Percentage of pupils,PCT,2,,6762338 - HENDREDENNY PARK PRIMARY,6762338,1136,,Eligible for free school meals,fsm,1,,
10.9,10.9,Percentage of pupils,PCT,2,,6762338 - HENDREDENNY PARK PRIMARY,6762338,1136,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.8,24.8,Percentage of pupils,PCT,2,,6762347 - CWMABER INFANTS SCHOOL,6762347,1137,,Eligible for free school meals,fsm,1,,
26.7,26.7,Percentage of pupils,PCT,2,,6762347 - CWMABER INFANTS SCHOOL,6762347,1137,,Eligible for free school meals or transitionally protected,fsmtp,2,,
2.1,2.1,Percentage of pupils,PCT,2,,6762368 - YSGOL GYMRAEG BRO ALLTA,6762368,1138,,Eligible for free school meals,fsm,1,,
5.7,5.7,Percentage of pupils,PCT,2,,6762368 - YSGOL GYMRAEG BRO ALLTA,6762368,1138,,Eligible for free school meals or transitionally protected,fsmtp,2,,
10.8,10.8,Percentage of pupils,PCT,2,,6762370 - Cwmfelinfach Primary,6762370,1139,,Eligible for free school meals,fsm,1,,
20.7,20.7,Percentage of pupils,PCT,2,,6762370 - Cwmfelinfach Primary,6762370,1139,,Eligible for free school meals or transitionally protected,fsmtp,2,,
8.7,8.7,Percentage of pupils,PCT,2,,6762373 - YSGOL GYMRAEG CWM GWYDDON,6762373,1140,,Eligible for free school meals,fsm,1,,
14.2,14.2,Percentage of pupils,PCT,2,,6762373 - YSGOL GYMRAEG CWM GWYDDON,6762373,1140,,Eligible for free school meals or transitionally protected,fsmtp,2,,
10.3,10.3,Percentage of pupils,PCT,2,,6762374 - Y G G  Y Castell,6762374,1141,,Eligible for free school meals,fsm,1,,
13.8,13.8,Percentage of pupils,PCT,2,,6762374 - Y G G  Y Castell,6762374,1141,,Eligible for free school meals or transitionally protected,fsmtp,2,,
2.5,2.5,Percentage of pupils,PCT,2,,6762376 - Cwrt Rawlin Primary School,6762376,1142,,Eligible for free school meals,fsm,1,,
4.2,4.2,Percentage of pupils,PCT,2,,6762376 - Cwrt Rawlin Primary School,6762376,1142,,Eligible for free school meals or transitionally protected,fsmtp,2,,
28.2,28.2,Percentage of pupils,PCT,2,,6762377 - Cefn Fforest Primary,6762377,1143,,Eligible for free school meals,fsm,1,,
34.9,34.9,Percentage of pupils,PCT,2,,6762377 - Cefn Fforest Primary,6762377,1143,,Eligible for free school meals or transitionally protected,fsmtp,2,,
50,50,Percentage of pupils,PCT,2,,6762378 - PENLLWYN PRIMARY,6762378,1144,,Eligible for free school meals,fsm,1,,
57.7,57.7,Percentage of pupils,PCT,2,,6762378 - PENLLWYN PRIMARY,6762378,1144,,Eligible for free school meals or transitionally protected,fsmtp,2,,
23.7,23.7,Percentage of pupils,PCT,2,,6762379 - Blackwood Primary,6762379,1145,,Eligible for free school meals,fsm,1,,
32,32,Percentage of pupils,PCT,2,,6762379 - Blackwood Primary,6762379,1145,,Eligible for free school meals or transitionally protected,fsmtp,2,,
11.3,11.3,Percentage of pupils,PCT,2,,6762380 - GLYN-GAER PRIMARY SCHOOL,6762380,1146,,Eligible for free school meals,fsm,1,,
15.1,15.1,Percentage of pupils,PCT,2,,6762380 - GLYN-GAER PRIMARY SCHOOL,6762380,1146,,Eligible for free school meals or transitionally protected,fsmtp,2,,
50.8,50.8,Percentage of pupils,PCT,2,,6762381 - Park Primary,6762381,1147,,Eligible for free school meals,fsm,1,,
61.7,61.7,Percentage of pupils,PCT,2,,6762381 - Park Primary,6762381,1147,,Eligible for free school meals or transitionally protected,fsmtp,2,,
32.6,32.6,Percentage of pupils,PCT,2,,6762382 - Aberbargoed Primary School,6762382,1148,,Eligible for free school meals,fsm,1,,
39.1,39.1,Percentage of pupils,PCT,2,,6762382 - Aberbargoed Primary School,6762382,1148,,Eligible for free school meals or transitionally protected,fsmtp,2,,
44.8,44.8,Percentage of pupils,PCT,2,,6762383 - Trinant Primary,6762383,1149,,Eligible for free school meals,fsm,1,,
56.9,56.9,Percentage of pupils,PCT,2,,6762383 - Trinant Primary,6762383,1149,,Eligible for free school meals or transitionally protected,fsmtp,2,,
27.1,27.1,Percentage of pupils,PCT,2,,6762384 - Ty Sign Primary School,6762384,1150,,Eligible for free school meals,fsm,1,,
33.2,33.2,Percentage of pupils,PCT,2,,6762384 - Ty Sign Primary School,6762384,1150,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25.3,25.3,Percentage of pupils,PCT,2,,6762385 - Tyn-Y-Wern Primary,6762385,1151,,Eligible for free school meals,fsm,1,,
33.5,33.5,Percentage of pupils,PCT,2,,6762385 - Tyn-Y-Wern Primary,6762385,1151,,Eligible for free school meals or transitionally protected,fsmtp,2,,
12.3,12.3,Percentage of pupils,PCT,2,,6762386 - Twyn Primary,6762386,1152,,Eligible for free school meals,fsm,1,,
15.7,15.7,Percentage of pupils,PCT,2,,6762386 - Twyn Primary,6762386,1152,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25.5,25.5,Percentage of pupils,PCT,2,,6762387 - White Rose Primary School,6762387,1153,,Eligible for free school meals,fsm,1,,
35.1,35.1,Percentage of pupils,PCT,2,,6762387 - White Rose Primary School,6762387,1153,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.6,24.6,Percentage of pupils,PCT,2,,6762388 - Ysgol Bro Sannan,6762388,1154,,Eligible for free school meals,fsm,1,,
38.1,38.1,Percentage of pupils,PCT,2,,6762388 - Ysgol Bro Sannan,6762388,1154,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25.8,25.8,Percentage of pupils,PCT,2,,6762389 - Plasyfelin Primary School,6762389,1155,,Eligible for free school meals,fsm,1,,
29.2,29.2,Percentage of pupils,PCT,2,,6762389 - Plasyfelin Primary School,6762389,1155,,Eligible for free school meals or transitionally protected,fsmtp,2,,
57.2,57.2,Percentage of pupils,PCT,2,,6762390 - St James Primary School,6762390,1156,,Eligible for free school meals,fsm,1,,
66.1,66.1,Percentage of pupils,PCT,2,,6762390 - St James Primary School,6762390,1156,,Eligible for free school meals or transitionally protected,fsmtp,2,,
25.3,25.3,Percentage of pupils,PCT,2,,6762391 - St Gwladys Bargoed School,6762391,1157,,Eligible for free school meals,fsm,1,,
31.1,31.1,Percentage of pupils,PCT,2,,6762391 - St Gwladys Bargoed School,6762391,1157,,Eligible for free school meals or transitionally protected,fsmtp,2,,
12.3,12.3,Percentage of pupils,PCT,2,,6762392 - Rhiw syr Dafydd Primary School,6762392,1158,,Eligible for free school meals,fsm,1,,
16.8,16.8,Percentage of pupils,PCT,2,,6762392 - Rhiw syr Dafydd Primary School,6762392,1158,,Eligible for free school meals or transitionally protected,fsmtp,2,,
9.2,9.2,Percentage of pupils,PCT,2,,6762393 - Ystrad Mynach Primary,6762393,1159,,Eligible for free school meals,fsm,1,,
11,11,Percentage of pupils,PCT,2,,6762393 - Ystrad Mynach Primary,6762393,1159,,Eligible for free school meals or transitionally protected,fsmtp,2,,
9.7,9.7,Percentage of pupils,PCT,2,,6762394 - Ysgol Gynradd Gymraeg Cwm Derwen,6762394,1160,,Eligible for free school meals,fsm,1,,
15.8,15.8,Percentage of pupils,PCT,2,,6762394 - Ysgol Gynradd Gymraeg Cwm Derwen,6762394,1160,,Eligible for free school meals or transitionally protected,fsmtp,2,,
12.6,12.6,Percentage of pupils,PCT,2,,6762395 - Ysgol Penalltau,6762395,1161,,Eligible for free school meals,fsm,1,,
15.8,15.8,Percentage of pupils,PCT,2,,6762395 - Ysgol Penalltau,6762395,1161,,Eligible for free school meals or transitionally protected,fsmtp,2,,
12.9,12.9,Percentage of pupils,PCT,2,,6763310 - St Helens RC Primary,6763310,1162,,Eligible for free school meals,fsm,1,,
17,17,Percentage of pupils,PCT,2,,6763310 - St Helens RC Primary,6763310,1162,,Eligible for free school meals or transitionally protected,fsmtp,2,,
17,17,Percentage of pupils,PCT,2,,6764031 - Newbridge School,6764031,1163,,Eligible for free school meals,fsm,1,,
21.4,21.4,Percentage of pupils,PCT,2,,6764031 - Newbridge School,6764031,1163,,Eligible for free school meals or transitionally protected,fsmtp,2,,
20.6,20.6,Percentage of pupils,PCT,2,,6764046 - Blackwood Comprehensive School,6764046,1164,,Eligible for free school meals,fsm,1,,
29.5,29.5,Percentage of pupils,PCT,2,,6764046 - Blackwood Comprehensive School,6764046,1164,,Eligible for free school meals or transitionally protected,fsmtp,2,,
26.3,26.3,Percentage of pupils,PCT,2,,6764065 - St Cenydd School,6764065,1165,,Eligible for free school meals,fsm,1,,
35.7,35.7,Percentage of pupils,PCT,2,,6764065 - St Cenydd School,6764065,1165,,Eligible for free school meals or transitionally protected,fsmtp,2,,
21.7,21.7,Percentage of pupils,PCT,2,,6764068 - Risca Community Comprehensive,6764068,1166,,Eligible for free school meals,fsm,1,,
30.4,30.4,Percentage of pupils,PCT,2,,6764068 - Risca Community Comprehensive,6764068,1166,,Eligible for free school meals or transitionally protected,fsmtp,2,,
15.8,15.8,Percentage of pupils,PCT,2,,6764070 - St Martin's School,6764070,1167,,Eligible for free school meals,fsm,1,,
22.6,22.6,Percentage of pupils,PCT,2,,6764070 - St Martin's School,6764070,1167,,Eligible for free school meals or transitionally protected,fsmtp,2,,
29.8,29.8,Percentage of pupils,PCT,2,,6764073 - HEOLDDU COMPREHENSIVE SCHOOL,6764073,1168,,Eligible for free school meals,fsm,1,,
37.3,37.3,Percentage of pupils,PCT,2,,6764073 - HEOLDDU COMPREHENSIVE SCHOOL,6764073,1168,,Eligible for free school meals or transitionally protected,fsmtp,2,,
20.8,20.8,Percentage of pupils,PCT,2,,6764075 - Lewis School Pengam,6764075,1169,,Eligible for free school meals,fsm,1,,
27.3,27.3,Percentage of pupils,PCT,2,,6764075 - Lewis School Pengam,6764075,1169,,Eligible for free school meals or transitionally protected,fsmtp,2,,
20.6,20.6,Percentage of pupils,PCT,2,,6764077 - Lewis Girls' Comprehensive School,6764077,1170,,Eligible for free school meals,fsm,1,,
28,28,Percentage of pupils,PCT,2,,6764077 - Lewis Girls' Comprehensive School,6764077,1170,,Eligible for free school meals or transitionally protected,fsmtp,2,,
26.6,26.6,Percentage of pupils,PCT,2,,6764093 - Bedwas High School,6764093,1171,,Eligible for free school meals,fsm,1,,
35.1,35.1,Percentage of pupils,PCT,2,,6764093 - Bedwas High School,6764093,1171,,Eligible for free school meals or transitionally protected,fsmtp,2,,
11.2,11.2,Percentage of pupils,PCT,2,,6764103 - Ysgol Gyfun Cwm Rhymni,6764103,1172,,Eligible for free school meals,fsm,1,,
17.2,17.2,Percentage of pupils,PCT,2,,6764103 - Ysgol Gyfun Cwm Rhymni,6764103,1172,,Eligible for free school meals or transitionally protected,fsmtp,2,,
18.2,18.2,Percentage of pupils,PCT,2,,6764104 - Islwyn High School,6764104,1173,,Eligible for free school meals,fsm,1,,
24.7,24.7,Percentage of pupils,PCT,2,,6764104 - Islwyn High School,6764104,1173,,Eligible for free school meals or transitionally protected,fsmtp,2,,
33.9,33.9,Percentage of pupils,PCT,2,,6765500 - Idris Davies School 3 to 18,6765500,1174,,Eligible for free school meals,fsm,1,,
42.7,42.7,Percentage of pupils,PCT,2,,6765500 - Idris Davies School 3 to 18,6765500,1174,,Eligible for free school meals or transitionally protected,fsmtp,2,,
42.8,42.8,Percentage of pupils,PCT,2,,6767011 - Trinity Fields School,6767011,1175,,Eligible for free school meals,fsm,1,,
47.7,47.7,Percentage of pupils,PCT,2,,6767011 - Trinity Fields School,6767011,1175,,Eligible for free school meals or transitionally protected,fsmtp,2,,
18.5,18.5,Percentage of pupils,PCT,2,,6772067 - Bryn Bach Primary School,6772067,1176,,Eligible for free school meals,fsm,1,,
26.2,26.2,Percentage of pupils,PCT,2,,6772067 - Bryn Bach Primary School,6772067,1176,,Eligible for free school meals or transitionally protected,fsmtp,2,,
27.3,27.3,Percentage of pupils,PCT,2,,6772070 - Glanhowy Primary School,6772070,1177,,Eligible for free school meals,fsm,1,,
35.5,35.5,Percentage of pupils,PCT,2,,6772070 - Glanhowy Primary School,6772070,1177,,Eligible for free school meals or transitionally protected,fsmtp,2,,
33.2,33.2,Percentage of pupils,PCT,2,,6772072 - Deighton Junior and Infants,6772072,1178,,Eligible for free school meals,fsm,1,,
41.6,41.6,Percentage of pupils,PCT,2,,6772072 - Deighton Junior and Infants,6772072,1178,,Eligible for free school meals or transitionally protected,fsmtp,2,,
11.2,11.2,Percentage of pupils,PCT,2,,6772074 - Georgetown Junior and Infants,6772074,1179,,Eligible for free school meals,fsm,1,,
17.2,17.2,Percentage of pupils,PCT,2,,6772074 - Georgetown Junior and Infants,6772074,1179,,Eligible for free school meals or transitionally protected,fsmtp,2,,
32.2,32.2,Percentage of pupils,PCT,2,,6772179 - SOFRYDD PRIMARY,6772179,1180,,Eligible for free school meals,fsm,1,,
40.1,40.1,Percentage of pupils,PCT,2,,6772179 - SOFRYDD PRIMARY,6772179,1180,,Eligible for free school meals or transitionally protected,fsmtp,2,,
19.7,19.7,Percentage of pupils,PCT,2,,6772253 - Cwm Primary School,6772253,1181,,Eligible for free school meals,fsm,1,,
27.1,27.1,Percentage of pupils,PCT,2,,6772253 - Cwm Primary School,6772253,1181,,Eligible for free school meals or transitionally protected,fsmtp,2,,
13.7,13.7,Percentage of pupils,PCT,2,,6772277 - Beaufort Hill Primary,6772277,1182,,Eligible for free school meals,fsm,1,,
18.1,18.1,Percentage of pupils,PCT,2,,6772277 - Beaufort Hill Primary,6772277,1182,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.4,24.4,Percentage of pupils,PCT,2,,6772278 - Willowtown Primary School,6772278,1183,,Eligible for free school meals,fsm,1,,
28.8,28.8,Percentage of pupils,PCT,2,,6772278 - Willowtown Primary School,6772278,1183,,Eligible for free school meals or transitionally protected,fsmtp,2,,
32.5,32.5,Percentage of pupils,PCT,2,,6772306 - Blaen-y-Cwm Primary School,6772306,1184,,Eligible for free school meals,fsm,1,,
38.7,38.7,Percentage of pupils,PCT,2,,6772306 - Blaen-y-Cwm Primary School,6772306,1184,,Eligible for free school meals or transitionally protected,fsmtp,2,,
14.7,14.7,Percentage of pupils,PCT,2,,6772307 - Ysgol Gymraeg Brohelyg,6772307,1185,,Eligible for free school meals,fsm,1,,
19.6,19.6,Percentage of pupils,PCT,2,,6772307 - Ysgol Gymraeg Brohelyg,6772307,1185,,Eligible for free school meals or transitionally protected,fsmtp,2,,
16.9,16.9,Percentage of pupils,PCT,2,,6772309 - GLYNCOED PRIMARY,6772309,1186,,Eligible for free school meals,fsm,1,,
22.3,22.3,Percentage of pupils,PCT,2,,6772309 - GLYNCOED PRIMARY,6772309,1186,,Eligible for free school meals or transitionally protected,fsmtp,2,,
43.9,43.9,Percentage of pupils,PCT,2,,6772310 - Rhos y Fedwen,6772310,1187,,Eligible for free school meals,fsm,1,,
52.8,52.8,Percentage of pupils,PCT,2,,6772310 - Rhos y Fedwen,6772310,1187,,Eligible for free school meals or transitionally protected,fsmtp,2,,
18.5,18.5,Percentage of pupils,PCT,2,,6772311 - Ystruth Primary,6772311,1188,,Eligible for free school meals,fsm,1,,
24.2,24.2,Percentage of pupils,PCT,2,,6772311 - Ystruth Primary,6772311,1188,,Eligible for free school meals or transitionally protected,fsmtp,2,,
21.3,21.3,Percentage of pupils,PCT,2,,6772312 - St. Illtyd's Primary School,6772312,1189,,Eligible for free school meals,fsm,1,,
32,32,Percentage of pupils,PCT,2,,6772312 - St. Illtyd's Primary School,6772312,1189,,Eligible for free school meals or transitionally protected,fsmtp,2,,
29.5,29.5,Percentage of pupils,PCT,2,,6772313 - Coed y Garn Primary School,6772313,1190,,Eligible for free school meals,fsm,1,,
38,38,Percentage of pupils,PCT,2,,6772313 - Coed y Garn Primary School,6772313,1190,,Eligible for free school meals or transitionally protected,fsmtp,2,,
21.4,21.4,Percentage of pupils,PCT,2,,6773308 - ST MARY'S ROMAN CATHOLIC,6773308,1191,,Eligible for free school meals,fsm,1,,
28.9,28.9,Percentage of pupils,PCT,2,,6773308 - ST MARY'S ROMAN CATHOLIC,6773308,1191,,Eligible for free school meals or transitionally protected,fsmtp,2,,
12.2,12.2,Percentage of pupils,PCT,2,,6773309 - St. MARY'S CHURCH SCHOOL,6773309,1192,,Eligible for free school meals,fsm,1,,
18.1,18.1,Percentage of pupils,PCT,2,,6773309 - St. MARY'S CHURCH SCHOOL,6773309,1192,,Eligible for free school meals or transitionally protected,fsmtp,2,,
30.5,30.5,Percentage of pupils,PCT,2,,6773315 - All Saints R.C. Primary School,6773315,1193,,Eligible for free school meals,fsm,1,,
45.2,45.2,Percentage of pupils,PCT,2,,6773315 - All Saints R.C. Primary School,6773315,1193,,Eligible for free school meals or transitionally protected,fsmtp,2,,
22.3,22.3,Percentage of pupils,PCT,2,,6773316 - St. Joseph's R.C. Primary,6773316,1194,,Eligible for free school meals,fsm,1,,
41.7,41.7,Percentage of pupils,PCT,2,,6773316 - St. Joseph's R.C. Primary,6773316,1194,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.9,24.9,Percentage of pupils,PCT,2,,6774061 - Tredegar Comprehensive School,6774061,1195,,Eligible for free school meals,fsm,1,,
33.4,33.4,Percentage of pupils,PCT,2,,6774061 - Tredegar Comprehensive School,6774061,1195,,Eligible for free school meals or transitionally protected,fsmtp,2,,
22.7,22.7,Percentage of pupils,PCT,2,,6775401 - Brynmawr Foundation School,6775401,1196,,Eligible for free school meals,fsm,1,,
33,33,Percentage of pupils,PCT,2,,6775401 - Brynmawr Foundation School,6775401,1196,,Eligible for free school meals or transitionally protected,fsmtp,2,,
21.8,21.8,Percentage of pupils,PCT,2,,6775500 - Ebbw Fawr Learning Community,6775500,1197,,Eligible for free school meals,fsm,1,,
31.7,31.7,Percentage of pupils,PCT,2,,6775500 - Ebbw Fawr Learning Community,6775500,1197,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.9,24.9,Percentage of pupils,PCT,2,,6775501 - Abertillery Learning Community,6775501,1198,,Eligible for free school meals,fsm,1,,
32.1,32.1,Percentage of pupils,PCT,2,,6775501 - Abertillery Learning Community,6775501,1198,,Eligible for free school meals or transitionally protected,fsmtp,2,,
40.8,40.8,Percentage of pupils,PCT,2,,6777011 - Pen-y-Cwm Special School,6777011,1199,,Eligible for free school meals,fsm,1,,
51.7,51.7,Percentage of pupils,PCT,2,,6777011 - Pen-y-Cwm Special School,6777011,1199,,Eligible for free school meals or transitionally protected,fsmtp,2,,
59,59,Percentage of pupils,PCT,2,,6777012 - The River Centre 3-16 Learning Community,6777012,1200,,Eligible for free school meals,fsm,1,,
65.6,65.6,Percentage of pupils,PCT,2,,6777012 - The River Centre 3-16 Learning Community,6777012,1200,,Eligible for free school meals or transitionally protected,fsmtp,2,,
7.9,7.9,Percentage of pupils,PCT,2,,6782203 - Llanyrafon Primary School,6782203,1201,,Eligible for free school meals,fsm,1,,
13.7,13.7,Percentage of pupils,PCT,2,,6782203 - Llanyrafon Primary School,6782203,1201,,Eligible for free school meals or transitionally protected,fsmtp,2,,
34.3,34.3,Percentage of pupils,PCT,2,,6782204 - Maendy Junior and Infants,6782204,1202,,Eligible for free school meals,fsm,1,,
43.5,43.5,Percentage of pupils,PCT,2,,6782204 - Maendy Junior and Infants,6782204,1202,,Eligible for free school meals or transitionally protected,fsmtp,2,,
10.2,10.2,Percentage of pupils,PCT,2,,6782205 - Llantarnam Community Primary School,6782205,1203,,Eligible for free school meals,fsm,1,,
18.9,18.9,Percentage of pupils,PCT,2,,6782205 - Llantarnam Community Primary School,6782205,1203,,Eligible for free school meals or transitionally protected,fsmtp,2,,
24.5,24.5,Percentage of pupils,PCT,2,,6782211 - Pontnewydd Primary & Nursery,6782211,1204,,Eligible for free school meals,fsm,1,,
